year,mlbam_id,name_savant,name_human,team,pitch_type,pitch_name,pitches_thrown,pitch_usage_pct,pa_against,ba,slg,woba,whiff_pct,k_pct,put_away_pct,est_ba,est_slg,est_woba,hard_hit_pct,run_value_per_100,snapshot_date
2023,669203,"Burnes, Corbin",Corbin Burnes,MIL,FC,Cutter,1706,55.4,455,0.209,0.34,0.298,22.7,19.8,22.1,0.243,0.393,0.325,34.1,1.4,2026-06-05
2023,664299,"Javier, Cristian",Cristian Javier,HOU,FF,4-Seam Fastball,1682,58.4,450,0.236,0.455,0.331,26.5,21.8,19.0,0.231,0.5,0.346,41.3,0.1,2026-06-05
2023,675911,"Strider, Spencer",Spencer Strider,ATL,FF,4-Seam Fastball,1826,58.9,435,0.256,0.431,0.339,28.7,28.5,22.3,0.237,0.424,0.319,40.7,0.5,2026-06-05
2023,657277,"Webb, Logan",Logan Webb,SF,CH,Changeup,1324,41.6,433,0.225,0.309,0.254,22.8,21.2,19.8,0.234,0.325,0.258,44.0,2.2,2026-06-05
2023,657006,"Steele, Justin",Justin Steele,CHC,FF,4-Seam Fastball,1682,62.8,431,0.274,0.391,0.328,20.4,19.0,19.8,0.276,0.409,0.327,35.9,1.0,2026-06-05
2023,543037,"Cole, Gerrit",Gerrit Cole,NYY,FF,4-Seam Fastball,1736,52.9,427,0.202,0.333,0.276,23.0,28.3,21.6,0.22,0.406,0.304,46.1,1.7,2026-06-05
2023,668678,"Gallen, Zac",Zac Gallen,AZ,FF,4-Seam Fastball,1614,49.7,412,0.239,0.367,0.293,19.3,22.3,21.4,0.253,0.455,0.33,51.4,1.6,2026-06-05
2023,592332,"Gausman, Kevin",Kevin Gausman,TOR,FF,4-Seam Fastball,1555,50.7,411,0.243,0.409,0.316,17.2,26.5,24.7,0.267,0.49,0.348,52.6,1.3,2026-06-05
2023,571578,"Corbin, Patrick",Patrick Corbin,WSH,SI,Sinker,1213,41.5,398,0.315,0.449,0.374,7.1,10.8,13.4,0.311,0.469,0.369,45.4,-0.5,2026-06-05
2023,664285,"Valdez, Framber",Framber Valdez,HOU,SI,Sinker,1380,46.8,390,0.273,0.453,0.352,12.7,9.0,20.5,0.301,0.516,0.388,50.0,0.5,2026-06-05
