year,mlbam_id,name_savant,name_human,team,pitch_type,pitch_name,pitches_thrown,pitch_usage_pct,pa_against,ba,slg,woba,whiff_pct,k_pct,put_away_pct,est_ba,est_slg,est_woba,hard_hit_pct,run_value_per_100,snapshot_date
2024,642547,"Peralta, Freddy",Freddy Peralta,MIL,FF,4-Seam Fastball,1650,53.8,405,0.239,0.424,0.338,25.2,26.9,19.1,0.23,0.433,0.334,44.1,0.0,2026-06-05
2024,669203,"Burnes, Corbin",Corbin Burnes,BAL,FC,Cutter,1348,45.0,400,0.251,0.362,0.306,19.0,16.0,19.4,0.257,0.392,0.311,31.9,1.3,2026-06-05
2024,669022,"Gore, MacKenzie",MacKenzie Gore,WSH,FF,4-Seam Fastball,1658,55.4,392,0.281,0.418,0.369,22.6,19.9,17.3,0.271,0.431,0.35,40.6,-0.2,2026-06-05
2024,592332,"Gausman, Kevin",Kevin Gausman,TOR,FF,4-Seam Fastball,1488,51.9,391,0.281,0.475,0.359,17.4,16.6,16.8,0.282,0.552,0.385,51.4,0.2,2026-06-05
2024,656302,"Cease, Dylan",Dylan Cease,SD,SL,Slider,1371,43.0,361,0.159,0.257,0.208,44.7,39.1,25.4,0.167,0.271,0.213,34.5,1.8,2026-06-05
2024,668881,"Greene, Hunter",Hunter Greene,CIN,FF,4-Seam Fastball,1415,55.2,358,0.184,0.273,0.266,24.9,28.5,20.6,0.197,0.335,0.29,39.4,1.4,2026-06-05
2024,607074,"Rodón, Carlos",Carlos Rodón,NYY,FF,4-Seam Fastball,1531,49.4,355,0.262,0.514,0.37,21.4,17.2,15.0,0.27,0.568,0.389,50.6,0.0,2026-06-05
2024,684007,"Imanaga, Shota",Shota Imanaga,CHC,FF,4-Seam Fastball,1343,51.9,353,0.23,0.471,0.325,17.7,18.7,17.9,0.235,0.459,0.319,45.3,0.3,2026-06-05
2024,650911,"Sánchez, Cristopher",Cristopher Sánchez,PHI,SI,Sinker,1324,47.3,344,0.345,0.481,0.406,13.1,9.3,12.3,0.337,0.503,0.394,44.1,-0.4,2026-06-05
2024,666142,"Ragans, Cole",Cole Ragans,KC,FF,4-Seam Fastball,1299,41.7,342,0.21,0.349,0.3,23.2,26.3,22.3,0.216,0.366,0.309,40.7,0.8,2026-06-05
2024,664285,"Valdez, Framber",Framber Valdez,HOU,SI,Sinker,1201,46.2,340,0.28,0.411,0.344,11.6,10.3,21.7,0.297,0.464,0.363,51.8,0.8,2026-06-05
2024,571578,"Corbin, Patrick",Patrick Corbin,WSH,SI,Sinker,1030,35.7,336,0.334,0.567,0.414,9.7,13.1,16.9,0.332,0.563,0.41,55.3,-1.9,2026-06-05
2024,680730,"Parker, Mitchell",Mitchell Parker,WSH,FF,4-Seam Fastball,1168,48.6,333,0.276,0.425,0.338,12.0,14.7,15.7,0.279,0.494,0.36,41.4,0.1,2026-06-05
2024,669194,"Nelson, Ryne",Ryne Nelson,AZ,FF,4-Seam Fastball,1341,55.7,328,0.249,0.418,0.32,19.5,28.0,19.8,0.244,0.392,0.307,51.9,0.4,2026-06-05
2024,605135,"Bassitt, Chris",Chris Bassitt,TOR,SI,Sinker,1207,40.8,326,0.326,0.422,0.382,12.8,17.5,18.0,0.299,0.424,0.363,41.2,-0.3,2026-06-05
2024,663903,"Singer, Brady",Brady Singer,KC,SL,Slider,1194,40.3,325,0.207,0.361,0.286,35.4,26.5,21.2,0.246,0.405,0.318,36.2,0.7,2026-06-05
2024,656302,"Cease, Dylan",Dylan Cease,SD,FF,4-Seam Fastball,1386,43.5,324,0.232,0.387,0.342,20.3,19.8,17.2,0.241,0.445,0.358,44.0,0.2,2026-06-05
2024,657006,"Steele, Justin",Justin Steele,CHC,FF,4-Seam Fastball,1221,59.7,324,0.253,0.394,0.334,22.3,21.9,24.3,0.23,0.347,0.294,38.0,0.6,2026-06-05
2024,690986,"Harrison, Kyle",Kyle Harrison,SF,FF,4-Seam Fastball,1196,57.6,321,0.249,0.425,0.332,23.0,24.6,20.4,0.237,0.432,0.328,49.5,-0.2,2026-06-05
2024,663903,"Singer, Brady",Brady Singer,KC,SI,Sinker,1238,41.7,320,0.269,0.39,0.33,12.7,20.0,24.0,0.277,0.437,0.344,46.1,0.8,2026-06-05
2024,657277,"Webb, Logan",Logan Webb,SF,CH,Changeup,990,30.9,319,0.275,0.411,0.322,21.6,17.9,16.4,0.305,0.513,0.372,51.6,0.1,2026-06-05
2024,571760,"Heaney, Andrew",Andrew Heaney,TEX,FF,4-Seam Fastball,1393,51.0,319,0.238,0.415,0.339,21.3,24.8,17.4,0.235,0.437,0.332,44.7,-0.1,2026-06-05
2024,671096,"Abbott, Andrew",Andrew Abbott,CIN,FF,4-Seam Fastball,1249,53.5,317,0.254,0.451,0.36,19.4,18.3,16.1,0.263,0.479,0.371,43.2,-0.7,2026-06-05
2024,450203,"Morton, Charlie",Charlie Morton,ATL,CU,Curveball,1183,42.4,316,0.2,0.309,0.279,34.2,32.3,22.1,0.183,0.273,0.262,31.3,0.2,2026-06-05
2024,657277,"Webb, Logan",Logan Webb,SF,SI,Sinker,1270,39.7,315,0.268,0.338,0.306,14.1,16.5,20.5,0.259,0.375,0.317,44.7,1.4,2026-06-05
2024,661563,"Gil, Luis",Luis Gil,NYY,FF,4-Seam Fastball,1299,48.8,310,0.205,0.395,0.319,28.5,28.4,23.3,0.207,0.375,0.316,42.0,-0.1,2026-06-05
