entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
"Realmuto, J.T.",592663,143,29,87.2,0.69,10,1.81,1.85,1.78,1,1.4,,1.4
"Alfaro, Jorge",595751,146,27,87.6,0.81,10,1.98,1.87,2.05,1,1.53,,1.53
"Nottingham, Jacob",641924,158,25,84.1,0.76,5,1.9,1.87,1.91,1,1.59,,1.59
"Greiner, Grayson",606988,116,27,81.9,0.75,5,1.95,1.89,1.97,1,1.53,1.53,
"Murphy, Sean",669221,133,25,86.9,0.72,15,1.88,1.89,1.87,1,1.41,,1.41
"Perez, Salvador",521692,118,30,81.0,0.75,7,1.99,1.91,2.04,0,,,
"Castro, Jason",488771,135,33,82.4,0.74,9,1.96,1.91,1.98,1,1.46,1.46,
"Maldonado, Martín",455117,117,33,84.5,0.74,12,1.91,1.92,1.9,0,,,
"Contreras, Willson",575929,112,28,84.3,0.75,20,1.94,1.92,1.95,1,1.48,1.48,
"Torrens, Luis",620443,136,24,81.8,0.73,6,1.97,1.92,1.98,0,,,
"Díaz, Elias",553869,115,29,82.7,0.67,6,1.9,1.92,1.9,0,,,
"Hedges, Austin",595978,114,27,81.3,0.68,7,1.88,1.92,1.87,3,1.45,1.45,
"Zunino, Mike",572287,139,29,80.2,0.65,10,1.91,1.92,1.89,0,,,
"Bemboom, Anthony",621532,108,30,81.0,0.72,13,1.94,1.93,1.95,0,,,
"Narváez, Omar",553882,158,28,77.6,0.69,13,1.96,1.94,1.97,1,1.59,,1.59
"Vázquez, Christian",543877,111,29,79.5,0.69,19,1.97,1.94,1.99,2,1.84,2.29,1.4
"Nola, Austin",543592,135,30,79.6,0.73,17,1.95,1.94,1.95,1,1.55,1.55,
"Stassi, Max",545358,108,29,79.6,0.71,25,1.98,1.94,1.99,2,1.52,1.56,1.47
"Knapp, Andrew",595284,143,28,81.9,0.77,7,1.95,1.95,1.95,0,,,
"McGuire, Reese",624512,141,25,75.2,0.68,5,1.98,1.96,1.99,0,,,
