"last_name, first_name",player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
"Abreu, José",547989,White Sox,2020,1B,3,4,0,3,1,1,-1,5,82%,78%,4%
"Aguilar, Jesús",542583,Marlins,2020,1B,-4,-5,-1,-4,0,-1,-2,-3,54%,60%,-6%
"Alonso, Pete",624413,Mets,2020,1B,-4,-5,-2,0,-3,0,-1,-4,63%,70%,-7%
"Bell, Josh",605137,Pirates,2020,1B,-2,-3,0,-4,1,1,-1,-1,71%,74%,-3%
"Belt, Brandon",474832,Giants,2020,1B,0,0,1,-3,1,0,-2,2,79%,79%,0%
"Cabrera, Asdrúbal",452678,Nationals,2020,3B,1,1,1,-1,1,0,0,1,77%,74%,3%
"Candelario, Jeimer",600869,Tigers,2020,1B,1,1,0,1,-1,1,0,1,75%,74%,1%
"Chavis, Michael",656308,Red Sox,2020,1B,0,0,1,1,-1,0,0,0,73%,73%,0%
"Choi, Ji Man",596847,Rays,2020,1B,-2,-3,0,-3,-1,0,0,-4,70%,74%,-4%
"Cooper, Garrett",643265,Marlins,2020,1B,-3,-4,0,-2,-2,0,-1,-3,66%,74%,-8%
"Dalbec, Bobby",666915,Red Sox,2020,1B,1,1,0,0,0,0,0,1,79%,78%,1%
"Dozier, Hunter",641531,Royals,2020,1B,1,1,1,-1,1,0,0,1,75%,73%,2%
"Freeman, Freddie",518692,Braves,2020,1B,1,1,0,1,0,0,1,0,71%,70%,1%
"Fuentes, Joshua",658069,Rockies,2020,1B,3,5,1,3,1,0,1,3,80%,74%,6%
"Goldschmidt, Paul",502671,Cardinals,2020,1B,3,4,2,0,1,1,1,2,78%,75%,3%
"Guerrero Jr., Vladimir",665489,Blue Jays,2020,1B,-2,-2,0,-1,-2,0,0,-2,69%,71%,-2%
"Gurriel, Yuli",493329,Astros,2020,1B,3,4,1,0,2,1,1,3,80%,78%,2%
"Guzmán, Ronald",608597,Rangers,2020,1B,1,1,0,1,1,0,0,2,72%,69%,3%
"Gyorko, Jedd",576397,Brewers,2020,1B,1,1,2,-1,1,0,0,1,76%,73%,3%
"Hoskins, Rhys",656555,Phillies,2020,1B,-4,-5,0,-4,-1,-1,-4,-1,60%,65%,-5%
"Hosmer, Eric",543333,Padres,2020,1B,-2,-2,-1,-1,-1,0,-2,0,63%,66%,-3%
"Moran, Colin",592567,Pirates,2020,1B,0,0,-1,0,1,0,-2,2,80%,80%,0%
"Moreland, Mitch",519048,---,2020,1B,1,1,0,2,-1,0,1,0,62%,61%,1%
"Muncy, Max",571970,Dodgers,2020,1B,-3,-4,-4,0,1,1,-3,-1,62%,65%,-3%
"Murphy, Daniel",502517,Rockies,2020,1B,-2,-3,1,-3,-1,0,-1,-2,62%,66%,-4%
"Núñez, Renato",600524,Orioles,2020,1B,-2,-2,0,-2,0,-1,-2,0,64%,68%,-4%
"O'Hearn, Ryan",656811,Royals,2020,1B,0,-1,-1,1,0,0,1,-1,75%,76%,-1%
"Olson, Matt",621566,Athletics,2020,1B,0,0,1,1,-2,1,-1,1,74%,74%,0%
"Pujols, Albert",405395,Angels,2020,1B,2,2,0,1,1,0,0,2,81%,76%,5%
"Rizzo, Anthony",519203,Cubs,2020,1B,2,3,2,0,2,-1,-2,5,80%,77%,3%
"Santana, Carlos",467793,Guardians,2020,1B,1,2,1,2,0,-1,-1,3,75%,73%,2%
"Sanó, Miguel",593934,Twins,2020,1B,-1,-1,-1,-1,1,0,-1,0,74%,74%,0%
"Smith, Dominic",642086,Mets,2020,1B,-3,-4,0,-3,-1,0,-1,-3,60%,68%,-8%
"Smoak, Justin",475253,Brewers,2020,1B,-2,-2,-1,-1,0,-1,-3,1,60%,64%,-4%
"Thames, Eric",519346,Nationals,2020,1B,0,-1,0,-1,0,0,-1,1,75%,76%,-1%
"Voit, Luke",572228,Yankees,2020,1B,-3,-3,0,-1,-3,0,-1,-2,70%,73%,-3%
"Votto, Joey",458015,Reds,2020,1B,-4,-5,-2,-1,-1,-1,-1,-4,71%,75%,-4%
"Walker, Christian",572233,D-backs,2020,1B,0,0,1,-1,0,0,1,-1,74%,74%,0%
"Walsh, Jared",665120,Angels,2020,1B,-1,-1,0,-2,0,0,0,-1,66%,68%,-2%
"White, Evan",657108,Mariners,2020,1B,4,5,1,3,1,0,2,3,78%,73%,5%
"Alberto, Hanser",593643,Orioles,2020,2B,-3,-4,1,-3,0,-2,-6,2,77%,79%,-2%
"Albies, Ozzie",645277,Braves,2020,2B,2,3,0,1,3,0,1,2,81%,78%,3%
"Altuve, Jose",514888,Astros,2020,2B,-5,-7,-1,1,-4,-2,0,-7,74%,77%,-3%
"Arraez, Luis",650333,Twins,2020,2B,-2,-3,-2,-2,0,1,0,-3,77%,79%,-2%
"Berti, Jon",542932,Marlins,2020,2B,-1,-1,-1,0,0,0,-2,1,78%,80%,-2%
"Biggio, Cavan",624415,Blue Jays,2020,2B,-2,-3,-2,1,-1,0,-5,2,79%,82%,-3%
"Camargo, Johan",622666,Braves,2020,2B,1,2,0,2,0,0,0,2,84%,81%,3%
"Canó, Robinson",429664,Mets,2020,2B,2,2,2,0,0,-1,2,1,74%,72%,2%
"Castro, Starlin",516770,Nationals,2020,2B,0,-1,2,-1,-2,1,1,-1,76%,77%,-1%
"Cronenworth, Jake",630105,Padres,2020,2B,3,3,2,1,-1,1,2,1,75%,73%,2%
"Fletcher, David",664058,Angels,2020,SS,0,1,1,1,0,-1,0,1,80%,79%,1%
"Frazier, Adam",624428,Pirates,2020,2B,4,5,1,2,1,1,2,3,81%,77%,4%
"García Jr., Luis",671277,Nationals,2020,2B,-4,-6,-3,-2,-1,-1,-3,-2,64%,70%,-6%
"Gonzalez, Marwin",503556,Twins,2020,3B,2,2,2,-1,0,1,2,0,71%,67%,4%
"Hampson, Garrett",641658,Rockies,2020,2B,0,0,0,0,0,0,-2,2,76%,76%,0%
"Hernández, César",514917,Guardians,2020,2B,3,3,0,2,4,-2,-2,6,78%,76%,2%
"Hernández, Enrique",571771,Dodgers,2020,2B,1,2,-1,2,0,1,1,1,77%,75%,2%
"Hiura, Keston",669374,Brewers,2020,2B,-1,-2,-4,1,1,1,-1,-1,76%,77%,-1%
"Hoerner, Nico",663538,Cubs,2020,2B,4,5,1,3,1,0,1,3,77%,72%,5%
"Kemp, Tony",643393,Athletics,2020,2B,1,1,1,1,-1,0,-1,2,73%,72%,1%
"Kingery, Scott",664068,Phillies,2020,2B,-3,-4,-1,-1,-2,0,-3,-1,67%,72%,-5%
"Kipnis, Jason",543401,Cubs,2020,2B,-3,-4,-2,-1,-1,-1,-4,0,70%,74%,-4%
"La Stella, Tommy",600303,---,2020,2B,-5,-6,-4,0,-1,-1,-4,-2,64%,70%,-6%
"LeMahieu, DJ",518934,Yankees,2020,2B,-2,-3,0,-2,-1,0,-5,2,73%,75%,-2%
"Long Jr., Shed",643418,Mariners,2020,2B,-3,-3,1,-3,-2,0,-2,-2,75%,79%,-4%
"Lopez, Nicky",670032,Royals,2020,2B,6,8,3,6,0,-1,2,6,77%,72%,5%
"Lowe, Brandon",664040,Rays,2020,2B,0,0,1,-1,0,0,0,0,70%,70%,0%
"Lux, Gavin",666158,Dodgers,2020,2B,1,1,0,1,0,0,2,-1,82%,81%,1%
"Madrigal, Nick",663611,White Sox,2020,2B,1,1,-1,1,0,0,1,-1,78%,77%,1%
"Marte, Ketel",606466,D-backs,2020,2B,0,0,-1,0,1,1,0,0,77%,77%,0%
"McMahon, Ryan",641857,Rockies,2020,2B,-1,-1,0,0,-1,0,-2,0,76%,77%,-1%
"Mendick, Danny",664901,White Sox,2020,2B,1,1,3,-1,0,0,-1,2,79%,77%,2%
"Moustakas, Mike",519058,Reds,2020,2B,-1,-1,0,0,-2,0,-1,-1,76%,77%,-1%
"Newman, Kevin",621028,Pirates,2020,SS,-1,-1,0,0,-1,0,0,-1,75%,77%,-2%
"Odor, Rougned",596059,Rangers,2020,2B,1,1,-1,1,0,1,-1,1,77%,76%,1%
"Peraza, José",606299,Red Sox,2020,2B,2,2,1,3,-1,0,0,2,72%,69%,3%
"Rengifo, Luis",650859,Angels,2020,2B,-2,-2,1,-3,1,-1,0,-2,75%,78%,-3%
"Schoop, Jonathan",570731,Tigers,2020,2B,3,5,2,2,1,0,-1,5,78%,75%,3%
"Segura, Jean",516416,Phillies,2020,2B,3,4,3,-1,2,0,3,1,77%,74%,3%
"Solano, Donovan",456781,Giants,2020,2B,-1,-2,-2,0,1,0,0,-2,73%,74%,-1%
"Villar, Jonathan",542340,---,2020,2B,-3,-5,1,0,-5,0,-1,-3,71%,76%,-5%
"Wade, Tyler",642180,Yankees,2020,2B,2,3,0,2,1,0,1,2,89%,84%,5%
"Wendle, Joey",621563,Rays,2020,3B,3,3,1,1,1,1,3,1,80%,74%,6%
"Wong, Kolten",543939,Cardinals,2020,2B,0,0,-1,2,-2,1,1,-1,79%,79%,0%
"Adrianza, Ehire",501303,Twins,2020,3B,1,2,2,-1,0,0,1,1,66%,62%,4%
