year,mlbam_id,name_savant,name_human,team,pitch_type,pitch_name,pitches_thrown,pitch_usage_pct,pa_against,ba,slg,woba,whiff_pct,k_pct,put_away_pct,est_ba,est_slg,est_woba,hard_hit_pct,run_value_per_100,snapshot_date
2021,592662,"Ray, Robbie",Robbie Ray,TOR,FF,4-Seam Fastball,1861,59.2,471,0.222,0.431,0.318,24.0,24.6,21.1,0.239,0.46,0.327,43.2,0.9,2026-06-05
2021,640455,"Manaea, Sean",Sean Manaea,ATH,SI,Sinker,1769,59.4,435,0.275,0.467,0.345,24.7,25.3,19.0,0.263,0.475,0.341,45.4,0.0,2026-06-05
2021,592332,"Gausman, Kevin",Kevin Gausman,SF,FF,4-Seam Fastball,1578,52.6,419,0.255,0.416,0.334,19.5,19.3,19.6,0.274,0.494,0.354,44.7,0.9,2026-06-05
2021,641816,"Mahle, Tyler",Tyler Mahle,CIN,FF,4-Seam Fastball,1697,53.1,389,0.237,0.435,0.338,27.0,34.7,21.6,0.21,0.367,0.306,41.0,0.2,2026-06-05
2021,669203,"Burnes, Corbin",Corbin Burnes,MIL,FC,Cutter,1356,52.3,364,0.237,0.328,0.29,33.2,32.1,30.9,0.198,0.294,0.256,32.1,1.9,2026-06-05
2021,605288,"Houser, Adrian",Adrian Houser,MIL,SI,Sinker,1271,54.0,357,0.207,0.266,0.288,14.6,15.7,17.4,0.231,0.321,0.304,37.2,1.8,2026-06-05
2021,543294,"Hendricks, Kyle",Kyle Hendricks,CHC,SI,Sinker,1196,42.6,356,0.289,0.474,0.367,13.1,14.6,18.9,0.272,0.44,0.336,33.9,-0.2,2026-06-05
2021,572070,"Richards, Garrett",Garrett Richards,BOS,FF,4-Seam Fastball,1236,53.0,355,0.304,0.487,0.389,18.0,14.6,15.8,0.305,0.517,0.393,52.5,-0.8,2026-06-05
2021,656302,"Cease, Dylan",Dylan Cease,CWS,FF,4-Seam Fastball,1388,46.9,353,0.263,0.448,0.365,23.2,19.5,18.2,0.267,0.506,0.384,46.8,0.1,2026-06-05
2021,622608,"Senzatela, Antonio",Antonio Senzatela,COL,FF,4-Seam Fastball,1312,54.6,352,0.295,0.394,0.327,14.1,10.8,12.3,0.292,0.422,0.331,41.5,0.6,2026-06-05
2021,628711,"Urías, Julio",Julio Urías,LAD,FF,4-Seam Fastball,1347,48.3,350,0.274,0.479,0.352,21.1,23.7,19.8,0.248,0.466,0.332,38.3,0.0,2026-06-05
2021,554430,"Wheeler, Zack",Zack Wheeler,PHI,FF,4-Seam Fastball,1359,42.4,339,0.224,0.317,0.279,25.9,33.0,24.0,0.214,0.319,0.273,32.3,1.4,2026-06-05
2021,621111,"Buehler, Walker",Walker Buehler,LAD,FF,4-Seam Fastball,1408,44.7,337,0.201,0.365,0.294,20.8,23.7,19.3,0.233,0.426,0.329,45.6,1.1,2026-06-05
2021,457918,"Happ, J.A.",J.A. Happ,STL,FF,4-Seam Fastball,1443,54.0,337,0.269,0.537,0.384,20.4,22.8,17.7,0.253,0.527,0.372,46.8,-0.7,2026-06-05
2021,601713,"Pivetta, Nick",Nick Pivetta,BOS,FF,4-Seam Fastball,1423,51.8,336,0.255,0.435,0.35,20.9,24.1,17.4,0.229,0.417,0.324,46.3,0.0,2026-06-05
2021,608566,"Márquez, Germán",Germán Márquez,COL,FF,4-Seam Fastball,1268,45.5,330,0.272,0.438,0.368,14.3,7.6,12.1,0.315,0.512,0.401,46.2,0.3,2026-06-05
2021,571927,"Matz, Steven",Steven Matz,TOR,SI,Sinker,1328,51.9,326,0.296,0.422,0.355,18.7,21.8,19.1,0.271,0.427,0.339,42.2,0.3,2026-06-05
2021,669432,"Rogers, Trevor",Trevor Rogers,MIA,FF,4-Seam Fastball,1252,57.7,326,0.221,0.343,0.305,27.1,30.7,26.2,0.213,0.362,0.305,40.2,1.1,2026-06-05
2021,663474,"McKenzie, Triston",Triston McKenzie,CLE,FF,4-Seam Fastball,1219,61.7,322,0.227,0.465,0.359,19.2,19.9,18.9,0.252,0.472,0.362,44.3,0.1,2026-06-05
2021,669302,"Gilbert, Logan",Logan Gilbert,SEA,FF,4-Seam Fastball,1293,60.8,321,0.257,0.405,0.314,21.7,22.1,17.7,0.255,0.454,0.327,51.3,1.4,2026-06-05
2021,450203,"Morton, Charlie",Charlie Morton,ATL,CU,Curveball,1099,36.8,316,0.127,0.187,0.183,40.3,40.2,29.8,0.174,0.252,0.232,23.3,2.6,2026-06-05
2021,543037,"Cole, Gerrit",Gerrit Cole,NYY,FF,4-Seam Fastball,1400,47.2,312,0.225,0.398,0.292,27.6,34.0,24.1,0.215,0.418,0.292,49.5,1.3,2026-06-05
